FID,CPT,predrill (m),L (m),Depth of Test (m),GWT (m),PGA (g),Lat,Long,CH_EW_RMSE,CH_NS_RMSE,CH_APL_mod (m),Rrup,CH_APL,Elevation (m),Slope_5m (%),River_Dir (deg)
2445,4,0.8,551.7462991,39.2,2.63418,0.51,-43.511633,172.71216,0.183362,-0.015059,0.183979337,2.746066668,0.183979337,1.94957,0.17468,19.15531
2084,28,1.2,394.9384162,18.4,2.74343,0.49,-43.508305,172.707421,-0.029763,0.012632,0.032332702,3.236562456,0.032332702,3.03307,0.53177,36.44637
2287,29,1.2,421.8366229,27.9,2.55272,0.5,-43.509731,172.71012,-0.1601,0.026523,0.162282099,2.99702573,0.162282099,2.16001,0.71861,25.73362
2440,30,1.2,365.2858845,38.7,2.2171,0.5,-43.509829,172.71212,-0.01515,-0.028252,0.032057729,2.909734791,0.032057729,1.97108,0.48305,20.93315
2262,31,1.2,195.7380697,38.2,1.99977,0.49,-43.507378,172.709962,-0.159462,0.064285,0.171932227,3.216152818,0.171932227,1.95014,0.72001,29.37664
2463,32,1.2,113.3542828,38.1,2.02998,0.49,-43.507463,172.712462,0.015819,0.094528,0.095842493,3.117223391,0.095842493,1.96431,0.56744,24.26489
2138,33,1.2,110.3299722,37.5,2.16267,0.48,-43.505785,172.708734,-0.225943,0.025416,0.227368011,3.4102344,0.227368011,2.13107,1.6116,40.43349
2494,34,1.2,38.9833577,27.9,1.9359,0.49,-43.506936,172.713093,-0.057919,0.241363,0.248215045,3.146160894,0.248215045,2.34836,0.86,23.98515
827,35,0.8,13.87226039,17.8,1.09198,0.44,-43.506247,172.683019,-1.5,-0.044341,1.500655232,4.408138125,0.760772289,2.00878,0.79527,276.83551
1059,36,0.8,241.5798107,22,2.09659,0.44,-43.506505,172.685814,-0.136779,-0.001979,0.136793316,4.285858994,0.136793316,2.22899,0.47871,274.47734
836,37,0.8,16.21976502,19.1,1.27352,0.43,-43.504468,172.683307,1.53,-0.181926,1.540778073,4.570344408,1.172729,2.05433,1.73743,276.96205
923,38,0.8,13.64135004,16.3,1.46183,0.43,-43.502831,172.683912,-1.76248,0.375144,1.801962478,4.708192656,1.801965412,2.09627,2.07181,289.47418
