CGDID,TTGDID,CPTID,easting__N,northing__,Investigat,Investig_1,Reference,PreDrill_D,Depth_of_T,Groundwate,Measured_D,ConeID,Known_Issu,Post_Groun,obs_class
36060,39427,34187,1570418,5181007,CPT,,CPT 1,0,22.68,1,1.6,1701-2525,,0,0
13110,13110,10835,1570431.9,5181833.1,CPT,,,0,9.33,0,0,C10CFIIP.G23,,0,0
37673,40363,35245,1570444,5180949,CPT,,238388,0,10.2,1,1.05,4473,,0,0
37674,40364,35246,1570465,5180951,CPT,,238388,0,10.96,1,1.05,4473,,0,0
45901,45085,43632,1570468.193,5180963.458,CPT,,33249-CPT03,0,19.98,1,1,1701-2500,,0,0
9215,9215,8411,1570470,5181240,CPT,,906/2,0,9.07,1,1.86,C10CFIIP.C10267,,0,0
9217,9217,8417,1570480,5181211,CPT,,906/3,0,9.33,1,1.8,C10CFIIP.C10267,,0,0
46061,45514,43706,1570496.886,5181920.372,CPT,,11794_820-CPT1,0,8.09,0,0,C10CFIIP.C13050,,0,0
47499,48264,44265,1570513,5181934,CPT,,33354,0,20.166,1,0.8,1701-2500,,0,0
23281,23281,17350,1570515,5181644,CPT,,69 Caledonian Road CPT02,0.1,9.0901,1,1.4,C10.CFIIP.G31.,,0,0
24309,24309,17869,1570526,5181645,CPT,,69 Caledonian Road CPT01,0,9.2701,1,1.7,C10CFIIP.G31,,0,0
30113,31174,28365,1570535.023,5181052.023,CPT,,"(13168) 28 Gracefield Ave, CPT03",0,10.42,0,0,C10CFIIP.c12359,,0,0
48692,49600,44948,1570537.388,5183708.956,CPT,,11860-164_CPT1,0,6.21,0,0,S10CFIIP.S12316,,0,0
30110,31220,28403,1570548.118,5181052.724,CPT,,"(13168) 28 Gracefield Ave, CPT01",0,10.5,0,0,C10CFIIP.C12359,,0,0
48693,49601,44949,1570551.243,5183702.02,CPT,,11860-164_CPT2,0,6.4101,0,0,S10CFIIP.S12316,,0,0
48694,49602,44950,1570551.875,5183687.029,CPT,,11860-164_CPT3,0,7.3501,0,0,S10CFIIP.S12316,,0,0
37439,40069,34802,1570597.984,5181812.864,CPT,,11794_177-CPT2,0,8.5301,0,0,S15CFIIP.S12303,,0,0
37440,40070,34803,1570599.882,5181804.098,CPT,,11794_177-CPT1,0,19.21,0,0,S15CFIIP.S12303,,0,0
37442,40072,34805,1570613.671,5181811.266,CPT,,11794_177-CPT3,0,8.49,0,0,S15CFIIP.S12303,,0,0
37441,40071,43583,1570614.181,5181805.716,CPT,,11794_177-CPT4,0,8.59,0,0,S15CFIIP.S12303,,0,0
34341,34950,30490,1570645.549,5181303.97,CPT,,CPT02,0,8.97,0,0,71017,,0,0
34340,34949,30489,1570645.917,5181330.737,CPT,,CPT01,0,8.64,0,0,71017,,0,0
27056,27056,19807,1570651.317,5181556.214,CPT,,CPT1,0,15.02,0,0,4439,,0,0
23405,23405,17422,1570655,5180907,CPT,,60265497-2.24 CPT01,0.25,20,1,1.27,C10CFIIP.C10267,,0,0
23406,23406,17423,1570689,5180912,CPT,,60265497-2.24 CPT02,0.21,20,1,1.17,C10CFIIP.C10267,,0,0
47897,48861,44599,1570713,5181026.9,CPT,,CPTu02,0,12.92,0,0,4475,,0,0
49024,50075,45111,1570729.116,5183662.814,CPT,,4258-CPT02,0,6.44,0,0,13400,,0,0
47896,48860,44598,1570729.3,5181046.4,CPT,,CPTu01,0,11.89,0,0,4475,,0,0
47898,48862,44600,1570750,5181019.1,CPT,,CPTu03,0,13.26,0,0,4475,,0,0
55926,56281,49294,1570782.219,5180874.064,CPT,,CPTA,0.5,13.7,0,0,MKJ365,,0,0
12170,12170,20741,1570788,5181225,CPT,,10933_02,0,17.3,0,0,100992T,,0,0
12168,12168,20740,1570788,5181251,CPT,,10933_01,0,18.02,0,0,100992T,,0,0
12171,12171,20742,1570789,5181196,CPT,,10933_03,0,16.78,0,0,100992T,,0,0
34144,34974,30876,1570790,5181222,CPT,,,0,17.3,0,0,CPTu002,,0,0
34145,34975,30504,1570791,5181193,CPT,,,0,16.78,0,0,CPTu002,,0,0
34143,34973,30875,1570791,5181250,CPT,,,0,18.02,0,0,CPTu002,,0,0
23176,23176,17251,1570795.534,5183764.723,CPT,,CPT03,0,8.26,0,0,4418,,0,0
29882,30917,28229,1570810.754,5183536.449,CPT,,CPT1,0,15.2,0,0,4435,,0,0
23174,23174,17249,1570812.547,5183775.347,CPT,,CPT01,0,8.36,0,0,4418,,0,0
23177,23177,17252,1570814.452,5183746.147,CPT,,CPT04,0,20.44,0,0,4418,,0,0
29883,30918,28230,1570831.798,5183549.312,CPT,,CPT2,0,15.08,0,0,4435,,0,0
23175,23175,17250,1570831.813,5183751.22,CPT,,CPT02,0,9.56,0,0,4418,,0,0
35569,38281,33405,1570836.037,5181304.021,CPT,,CPT1 - 195 Bealey Avenue,0,20.2,0,0,TKJ354,,0,0
23182,23182,17257,1570836.275,5183710.147,CPT,,CPT08,0,6.5,0,0,4418,,0,0
35571,38282,33406,1570839.203,5181338.019,CPT,,CPT2 - 195 Bealey Avenue,0,16,0,0,C10CFIIP.C12359,,0,0
23180,23180,17254,1570840.961,5183729.602,CPT,,CPT06,0,6.96,0,0,4418,,0,0
23181,23181,17255,1570851.4,5183690.11,CPT,,CPT07,0,7.72,0,0,4418,,0,0
23178,23178,17253,1570862.909,5183702.155,CPT,,CPT05,0,6.64,0,0,4418,,0,0
48675,49603,44951,1570947.252,5183285.821,CPT,,11860-185_CPT1,0,20.15,0,0,C10CFIIP.C13050,,0,0
