
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-03-10


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Christchurch
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 8056, -, 1.0, -, 5.8, 14.3, 0.0, "Christchurch_ New Zealand", 2011, "ADCS", 6.2, Reverse Oblique, 84.14, 84.14, 249.28, 0.0625, 1.0, RSN8056_CCHURCH_ADCSN42W.AT2, RSN8056_CCHURCH_ADCSN48E.AT2 , RSN8056_CCHURCH_ADCSUP.AT2  
2, SRSS, 8057, -, 1.0, -, 15.7, 43.6, 0.0, "Christchurch_ New Zealand", 2011, "AMBC", 6.2, Reverse Oblique, 41.08, 41.08, 336.98, 0.05, 1.0, RSN8057_CCHURCH_AMBCN86E.AT2, RSN8057_CCHURCH_AMBCS04E.AT2 , RSN8057_CCHURCH_AMBCUP.AT2  
3, SRSS, 8058, -, 1.0, -, 15.4, 22.3, 0.0, "Christchurch_ New Zealand", 2011, "APPS", 6.2, Reverse Oblique, 112.49, 112.49, 494.96, 0.05, 1.0, RSN8058_CCHURCH_APPSN09W.AT2, RSN8058_CCHURCH_APPSS81W.AT2 , RSN8058_CCHURCH_APPSUP.AT2  
4, SRSS, 8059, -, 1.0, -, 22.7, 27.7, 0.0, "Christchurch_ New Zealand", 2011, "ARKS", 6.2, Reverse Oblique, 311.33, 311.33, 535.24, 0.1875, 1.0, RSN8059_CCHURCH_ARKSN12E.AT2, RSN8059_CCHURCH_ARKSS78E.AT2 , RSN8059_CCHURCH_ARKSUP.AT2  
5, SRSS, 8060, -, 1.0, -, 5.7, 15.8, 0.1, "Christchurch_ New Zealand", 2011, "ASHS", 6.2, Reverse Oblique, 30.46, 30.46, 295.74, 0.075, 1.0, RSN8060_CCHURCH_ASHSN85W.AT2, RSN8060_CCHURCH_ASHSS05W.AT2 , RSN8060_CCHURCH_ASHSUP.AT2  
6, SRSS, 8061, -, 1.0, -, 12.6, 15.1, 0.0, "Christchurch_ New Zealand", 2011, "BDCS", 6.2, Reverse Oblique, 378.25, 378.37, 477.35, 0.25, 1.0, RSN8061_CCHURCH_BDCSN59E.AT2, RSN8061_CCHURCH_BDCSS31E.AT2 , RSN8061_CCHURCH_BDCSUP.AT2  
7, SRSS, 8062, -, 1.0, -, 4.1, 12.6, 0.5, "Christchurch_ New Zealand", 2011, "Canterbury Aero Club", 6.2, Reverse Oblique, 14.41, 14.41, 280.26, 0.0625, 1.0, RSN8062_CCHURCH_CACSN40E.AT2, RSN8062_CCHURCH_CACSN50W.AT2 , RSN8062_CCHURCH_CACSUP.AT2  
8, SRSS, 8063, -, 1.0, -, 4.8, 11.4, 2.7, "Christchurch_ New Zealand", 2011, "Christchurch Botanical Gardens", 6.2, Reverse Oblique, 5.52, 5.55, 187.0, 0.075, 1.0, RSN8063_CCHURCH_CBGSN89W.AT2, RSN8063_CCHURCH_CBGSS01W.AT2 , RSN8063_CCHURCH_CBGSUP.AT2  
9, SRSS, 8064, -, 1.0, -, 4.3, 11.2, 2.7, "Christchurch_ New Zealand", 2011, "Christchurch Cathedral College", 6.2, Reverse Oblique, 3.22, 3.26, 198.0, 0.05, 1.0, RSN8064_CCHURCH_CCCCN26W.AT2, RSN8064_CCHURCH_CCCCN64E.AT2 , RSN8064_CCHURCH_CCCCUP.AT2  
10, SRSS, 8065, -, 1.0, -, 19.9, 38.5, 0.0, "Christchurch_ New Zealand", 2011, "CECS", 6.2, Reverse Oblique, 89.68, 89.69, 412.23, 0.05, 1.0, RSN8065_CCHURCH_CECSN06E.AT2, RSN8065_CCHURCH_CECSS84E.AT2 , RSN8065_CCHURCH_CECSUP.AT2  
11, SRSS, 8066, -, 1.0, -, 5.2, 10.6, 2.4, "Christchurch_ New Zealand", 2011, "Christchurch Hospital", 6.2, Reverse Oblique, 4.82, 4.85, 194.0, 0.0625, 1.0, RSN8066_CCHURCH_CHHCN01W.AT2, RSN8066_CCHURCH_CHHCS89W.AT2 , RSN8066_CCHURCH_CHHCUP.AT2  
