RSNID,D5-75,D5-95,Ia,Event,Year,StationName,Magnitude,Mechanism,Rjb(km),Rrup(km),Vs30(m/sec),LowestUseableFrequency(Hz),Horizontal-1Acc.Filename,Horizontal-2Acc.Filename,VerticalAcc.Filename
6879,18.2,34.1,0.3,"""Darfield_NewZealand""",2010,"""ADCS""",7,strikeslip,28.46,31.41,249.28,0.125,RSN6879_DARFIELD_ADCSN42W.AT2,RSN6879_DARFIELD_ADCSN48E.AT2,RSN6879_DARFIELD_ADCSUP.AT2
6881,13.8,35.9,0,"""Darfield_NewZealand""",2010,"""ARKS""",7,strikeslip,333.21,333.21,535.24,0.2875,RSN6881_DARFIELD_ARKSN12E.AT2,RSN6881_DARFIELD_ARKSS78E.AT2,RSN6881_DARFIELD_ARKSUP.AT2
6882,28.6,52.5,0,"""Darfield_NewZealand""",2010,"""ARPS""",7,strikeslip,124.96,124.96,586.28,0.025,RSN6882_DARFIELD_ARPSS10W.AT2,RSN6882_DARFIELD_ARPSS80E.AT2,RSN6882_DARFIELD_ARPSUP.AT2
6884,49.6,57.2,0,"""Darfield_NewZealand""",2010,"""BDCS""",7,strikeslip,331.2,332.05,477.35,0.2875,RSN6884_DARFIELD_BDCSN59E.AT2,RSN6884_DARFIELD_BDCSS31E.AT2,RSN6884_DARFIELD_BDCSUP.AT2
6885,64.4,76.8,0,"""Darfield_NewZealand""",2010,"""BFZ""",7,strikeslip,452.22,452.22,649.67,0.1125,RSN6885_DARFIELD_BFZE.AT2,RSN6885_DARFIELD_BFZN.AT2,RSN6885_DARFIELD_BFZUP.AT2
6886,15.1,35.1,0.9,"""Darfield_NewZealand""",2010,"""CanterburyAeroClub""",7,strikeslip,14.48,14.48,280.26,0.05,RSN6886_DARFIELD_CACSN40E.AT2,RSN6886_DARFIELD_CACSN50W.AT2,RSN6886_DARFIELD_CACSUP.AT2
6887,11,28.5,0.9,"""Darfield_NewZealand""",2010,"""ChristchurchBotanicalGardens""",7,strikeslip,18.05,18.05,187,0.05,RSN6887_DARFIELD_CBGSN89W.AT2,RSN6887_DARFIELD_CBGSS01W.AT2,RSN6887_DARFIELD_CBGSUP.AT2
6888,11.6,27.8,1.3,"""Darfield_NewZealand""",2010,"""ChristchurchCathedralCollege""",7,strikeslip,19.89,19.89,198,0.05,RSN6888_DARFIELD_CCCCN26W.AT2,RSN6888_DARFIELD_CCCCN64E.AT2,RSN6888_DARFIELD_CCCCUP.AT2
6889,12,26.6,1.2,"""Darfield_NewZealand""",2010,"""ChristchurchHospital""",7,strikeslip,18.4,18.4,194,0.0375,RSN6889_DARFIELD_CHHCN01W.AT2,RSN6889_DARFIELD_CHHCS89W.AT2,RSN6889_DARFIELD_CHHCUP.AT2
6890,9,20,1.1,"""Darfield_NewZealand""",2010,"""ChristchurchCashmereHighSchool""",7,strikeslip,17.64,17.64,204,0.075,RSN6890_DARFIELD_CMHSN10E.AT2,RSN6890_DARFIELD_CMHSS80E.AT2,RSN6890_DARFIELD_CMHSUP.AT2
6891,15.4,28.9,0.4,"""Darfield_NewZealand""",2010,"""CSHS""",7,strikeslip,43.6,43.6,638.39,0.0375,RSN6891_DARFIELD_CSHSN76W.AT2,RSN6891_DARFIELD_CSHSS14W.AT2,RSN6891_DARFIELD_CSHSUP.AT2
6892,73.2,80.6,0,"""Darfield_NewZealand""",2010,"""DCZ""",7,strikeslip,417.72,418.4,638.39,0.0375,RSN6892_DARFIELD_DCZE.AT2,RSN6892_DARFIELD_DCZN.AT2,RSN6892_DARFIELD_DCZUP.AT2
6893,15,21.3,2.8,"""Darfield_NewZealand""",2010,"""DFHS""",7,strikeslip,11.86,11.86,344.02,0.1625,RSN6893_DARFIELD_DFHSS17E.AT2,RSN6893_DARFIELD_DFHSS73W.AT2,RSN6893_DARFIELD_DFHSUP.AT2
6894,41.4,53.4,0,"""Darfield_NewZealand""",2010,"""DGNS""",7,strikeslip,265.51,266.57,500.35,0.25,RSN6894_DARFIELD_DGNSS18W.AT2,RSN6894_DARFIELD_DGNSS72E.AT2,RSN6894_DARFIELD_DGNSUP.AT2
6895,30.9,47.7,0.1,"""Darfield_NewZealand""",2010,"""DKHS""",7,strikeslip,270.2,271.24,343.27,0.0375,RSN6895_DARFIELD_DKHSN33W.AT2,RSN6895_DARFIELD_DKHSN57E.AT2,RSN6895_DARFIELD_DKHSUP.AT2
6896,15.9,27.9,0.2,"""Darfield_NewZealand""",2010,"""DORC""",7,strikeslip,29.96,32.91,280.26,0.125,RSN6896_DARFIELD_DORCN20W.AT2,RSN6896_DARFIELD_DORCN70E.AT2,RSN6896_DARFIELD_DORCUP.AT2
6897,13,19.6,2.1,"""Darfield_NewZealand""",2010,"""DSLC""",7,strikeslip,5.28,8.46,295.74,0.075,RSN6897_DARFIELD_DSLCN27W.AT2,RSN6897_DARFIELD_DSLCN63E.AT2,RSN6897_DARFIELD_DSLCUP.AT2
6898,27.3,46,0,"""Darfield_NewZealand""",2010,"""DSZ""",7,strikeslip,207.34,207.34,638.39,0.05,RSN6898_DARFIELD_DSZE.AT2,RSN6898_DARFIELD_DSZN.AT2,RSN6898_DARFIELD_DSZUP.AT2
6899,37.6,63.4,0,"""Darfield_NewZealand""",2010,"""EAZ""",7,strikeslip,262.75,263.82,638.39,0.05,RSN6899_DARFIELD_EAZE.AT2,RSN6899_DARFIELD_EAZN.AT2,RSN6899_DARFIELD_EAZUP.AT2
6900,17,23.3,0,"""Darfield_NewZealand""",2010,"""EBPS""",7,strikeslip,326.8,326.8,561.04,0.5,RSN6900_DARFIELD_EBPSS38W.AT2,RSN6900_DARFIELD_EBPSS52E.AT2,RSN6900_DARFIELD_EBPSUP.AT2
6901,14,29.7,0.3,"""Darfield_NewZealand""",2010,"""FDCS""",7,strikeslip,90.17,91.59,389.54,0.0375,RSN6901_DARFIELD_FDCSN09W.AT2,RSN6901_DARFIELD_FDCSS81W.AT2,RSN6901_DARFIELD_FDCSUP.AT2
